"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-01","2023","01","01","","1.6","","-2.6","","-0.5","","18.5","","0.0","","","","","","0.0","","29","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-02","2023","01","02","","-0.4","","-4.9","","-2.7","","20.7","","0.0","","","","","","0.0","","28","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-03","2023","01","03","","-0.4","","-5.1","","-2.8","","20.8","","0.0","","","","","","0.2","","28","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-04","2023","01","04","","-0.8","","-5.6","","-3.2","","21.2","","0.0","","","","","","0.0","","29","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-05","2023","01","05","","0.5","","-1.8","","-0.6","","18.6","","0.0","","","","","","5.6","","29","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-06","2023","01","06","","3.0","","-0.4","","1.3","","16.7","","0.0","","","","","","5.7","","33","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-07","2023","01","07","","2.8","","0.3","","1.5","","16.5","","0.0","","","","","","1.6","","32","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-08","2023","01","08","","2.5","","-0.2","","1.1","","16.9","","0.0","","","","","","6.5","","31","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-09","2023","01","09","","2.0","","-0.1","","0.9","","17.1","","0.0","","","","","","4.5","","31","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-10","2023","01","10","","3.0","","-0.6","","1.2","","16.8","","0.0","","","","","","0.9","","33","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-11","2023","01","11","","1.9","","-2.1","","-0.1","","18.1","","0.0","","","","","","0.0","","32","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-12","2023","01","12","","0.6","","0.0","","0.3","","17.7","","0.0","","","","","","31.9","","31","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-13","2023","01","13","","2.5","","0.1","","1.3","","16.7","","0.0","","","","","","21.0","","39","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-14","2023","01","14","","4.5","","-0.4","","2.0","","16.0","","0.0","","","","","","5.5","","35","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-15","2023","01","15","","3.8","","-0.3","","1.7","","16.3","","0.0","","","","","","0.5","","35","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-16","2023","01","16","","2.5","","0.3","","1.4","","16.6","","0.0","","","","","","4.2","","34","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-17","2023","01","17","","3.0","","0.5","","1.8","","16.2","","0.0","","","","","","0.9","","33","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-18","2023","01","18","","2.2","","-0.5","","0.8","","17.2","","0.0","","","","","","6.7","","32","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-19","2023","01","19","","2.5","","-3.4","","-0.4","","18.4","","0.0","","","","","","0.2","","32","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-20","2023","01","20","","3.2","","-3.1","","0.0","","18.0","","0.0","","","","","","0.8","","34","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-21","2023","01","21","","0.6","","-4.4","","-1.9","","19.9","","0.0","","","","","","6.1","","33","","","M","","M"
