Station Name		WHISTLER - NESTERS
Province or Territory		BRITISH COLUMBIA
Current Station Operator	Environment and Climate Change Canada - Meteorological Service of Canada
Latitude		50.13
Longitude		-122.95
Elevation		659.00
Climate Identifier	1100875
WMO Identifier		71687
TC Identifier		VOC

Legend
A	Accumulated
C	Precipitation occurred, amount uncertain
E	Estimated
F	Accumulated and estimated
L	Precipitation may or may not have occurred
M	Missing
N	Temperature missing but known to be > 0
S	More than one occurrence
T	Trace
Y	Temperature missing but known to be < 0
[empty]	Indicates an unobserved value
^	The value displayed is based on incomplete data
†	Data that is not subject to review by the National Climate Archives
